SessionTime,SessionDate,Lab,ExperimentName,Subject,Session,Feedback,MemoryVersion,Odor,Accuracy,Correct,Stimulus,Response,ReactionTime,MouseX,MouseY,CardShownCoords,CardClickedCoords
13:53:50,2015/02/11,MEG,Sleep Connectivity,1,Learning,1,A,1,100,1,starfish,starfish,0,0,0,A3,A3
13:53:50,2015/02/11,MEG,Sleep Connectivity,1,Learning,1,A,1,100,1,pigeon,pigeon,0,0,0,B4,B4
13:53:50,2015/02/11,MEG,Sleep Connectivity,1,Learning,1,A,1,100,1,raven,raven,0,0,0,C2,C2
13:53:50,2015/02/11,MEG,Sleep Connectivity,1,Learning,1,A,1,100,1,hummingbird,hummingbird,0,0,0,D4,D4
13:54:16,2015/02/11,MEG,Sleep Connectivity,1,Learning,1,A,1,100,1,starfish,starfish,0,0,0,A3,A3
13:54:16,2015/02/11,MEG,Sleep Connectivity,1,Learning,1,A,1,100,1,pigeon,pigeon,0,0,0,B4,B4
13:54:16,2015/02/11,MEG,Sleep Connectivity,1,Learning,1,A,1,100,1,raven,raven,0,0,0,C2,C2
13:54:16,2015/02/11,MEG,Sleep Connectivity,1,Learning,1,A,1,100,1,hummingbird,hummingbird,0,0,0,D4,D4
13:54:57,2015/02/11,MEG,Sleep Connectivity,1,Learning,1,A,1,75,1,starfish,starfish,2.15655829629706,108,478,A3,A3
13:54:57,2015/02/11,MEG,Sleep Connectivity,1,Learning,1,A,1,75,0,pigeon,ostrich,0.975928894667586,395,704,B4,C5
13:54:57,2015/02/11,MEG,Sleep Connectivity,1,Learning,1,A,1,75,1,raven,raven,0.873163957272438,417,384,C2,C2
13:54:57,2015/02/11,MEG,Sleep Connectivity,1,Learning,1,A,1,75,1,hummingbird,hummingbird,0.749094633784968,568,597,D4,D4
13:55:32,2015/02/11,MEG,Sleep Connectivity,1,Learning,0,A,1,50,1,starfish,starfish,2.63846960037538,118,487,A3,A3
13:55:32,2015/02/11,MEG,Sleep Connectivity,1,Learning,0,A,1,50,1,pigeon,pigeon,1.26312450290576,211,592,B4,B4
13:55:32,2015/02/11,MEG,Sleep Connectivity,1,Learning,0,A,1,50,0,raven,giraffe,1.04983388345546,759,357,C2,E2
13:55:32,2015/02/11,MEG,Sleep Connectivity,1,Learning,0,A,1,50,0,hummingbird,pigeon,1.08018734209749,339,606,D4,B4
13:57:00,2015/02/11,SL4,Sleep Connectivity,1,Interference,1,B,1,100,1,beetle,beetle,0,0,0,A2,A2
13:57:00,2015/02/11,SL4,Sleep Connectivity,1,Interference,1,B,1,100,1,mussel,mussel,0,0,0,B4,B4
13:57:00,2015/02/11,SL4,Sleep Connectivity,1,Interference,1,B,1,100,1,hen,hen,0,0,0,D4,D4
13:57:00,2015/02/11,SL4,Sleep Connectivity,1,Interference,1,B,1,100,1,ladybird,ladybird,0,0,0,C5,C5
13:58:17,2015/02/11,SL4,Sleep Connectivity,1,Interference,1,B,1,100,1,beetle,beetle,0,0,0,A2,A2
13:58:17,2015/02/11,SL4,Sleep Connectivity,1,Interference,1,B,1,100,1,mussel,mussel,0,0,0,B4,B4
13:58:17,2015/02/11,SL4,Sleep Connectivity,1,Interference,1,B,1,100,1,hen,hen,0,0,0,D4,D4
13:58:17,2015/02/11,SL4,Sleep Connectivity,1,Interference,1,B,1,100,1,ladybird,ladybird,0,0,0,C5,C5
